engine,cylandr,fuelcomb,out1
1.9653644805026533,3,8.737400074108379,196
2.377521995430084,3,9.761951720927218,225
1.3883201022296,5,5.859819849049513,130
3.6524997602993388,7,10.752715541448268,259
3.5310106655484543,7,10.534655616196067,239
3.348517146620509,5,9.996653244478233,232
3.357674239452877,6,9.914209175653333,240
3.8375600337443334,5,11.13443479189229,256
3.62461997749956,5,11.672256852000158,254
2.373854584614046,3,9.352538732803888,217
2.4157533144148893,3,9.452717427430041,225
3.488798107047405,7,10.11563570146704,235
1.9029068104585085,3,8.305018498980072,192
6.036552333887576,13,15.54588607143301,355
5.8504474455075,13,15.346862763267142,355
4.8739652709394905,7,14.925225323701625,333
4.855320800227069,9,15.561171493181567,360
4.810076199637735,8,14.446008780989082,336
4.6653942634453465,8,15.142595759581434,350
5.863597680271961,11,15.721350336166488,366
1.906626255811936,4,8.99132839080781,211
1.9756206625210073,4,9.828554100006865,228
1.9968035187683681,4,9.391095442335882,214
1.8320440713355426,3,9.603716956002067,233
1.951229503574064,4,10.247030409468886,223
1.971901946447331,4,9.247406859106666,210
1.8867893900140442,4,10.130308051471362,230
2.881621005905531,7,10.936712634448646,252
2.8851766922029713,7,8.186501425883014,222
3.2472632451619448,6,11.26352540566487,264
2.9197278321707523,5,8.208228229674399,217
3.109425005936249,6,11.239709364507004,264
3.984044170377549,7,11.402605442973128,266
2.938406931357356,7,8.587867075772246,219
2.933707350846721,6,11.080867370313861,257
4.053440371349415,8,12.52512866508743,278
6.260913848259426,12,16.038186006969152,367
3.1119498602546476,6,8.20123664805015,223
2.090866600380171,4,10.646310647785715,242
1.9963104892424248,4,10.14540297393851,242
3.2055139977086164,5,10.923774119042754,255
3.034745004198828,6,9.41611064569329,242
2.256385566444091,3,9.252336644434399,208
3.0630308415635854,5,13.123095287317746,305
2.9506381840883416,5,10.599026647789946,292
4.049560944147606,9,14.692994755740315,328
4.282405388988707,9,17.796738904224643,406
5.142007329444898,10,14.848514708334587,351
5.199560272868856,10,18.102186497367974,407
4.164745707589841,9,14.834032184392033,330
4.3620666444531695,9,17.42786774214494,406
5.274061096722404,11,14.832985748455718,346
5.165519782280132,10,17.77711484024303,411
4.0847124520922025,9,13.599910348152095,308
